ensembl_gene_ID,kegg_ID
"ENSBTAG00000046967","path:bta04650"
"ENSBTAG00000046967","path:bta05152"
"ENSBTAG00000046967","path:bta05160"
"ENSBTAG00000046967","path:bta05161"
"ENSBTAG00000046967","path:bta05162"
"ENSBTAG00000046967","path:bta05163"
"ENSBTAG00000046967","path:bta05164"
"ENSBTAG00000046967","path:bta05165"
"ENSBTAG00000046967","path:bta05167"
"ENSBTAG00000046967","path:bta05168"
"ENSBTAG00000046967","path:bta05169"
"ENSBTAG00000046967","path:bta05170"
"ENSBTAG00000046967","path:bta05200"
"ENSBTAG00000046967","path:bta05320"
"ENSBTAG00000003541","path:bta05168"
"ENSBTAG00000019554","path:bta00010"
"ENSBTAG00000019554","path:bta00030"
"ENSBTAG00000019554","path:bta00051"
"ENSBTAG00000019554","path:bta01100"
"ENSBTAG00000019554","path:bta01200"
"ENSBTAG00000019554","path:bta04152"
"ENSBTAG00000019554","path:bta04910"
"ENSBTAG00000019554","path:bta04922"
"ENSBTAG00000010046","path:bta05168"
"ENSBTAG00000048634","path:bta04060"
"ENSBTAG00000048634","path:bta04151"
"ENSBTAG00000048634","path:bta04217"
"ENSBTAG00000048634","path:bta04380"
"ENSBTAG00000048634","path:bta04620"
"ENSBTAG00000048634","path:bta04621"
"ENSBTAG00000048634","path:bta04622"
"ENSBTAG00000048634","path:bta04623"
"ENSBTAG00000048634","path:bta04630"
"ENSBTAG00000048634","path:bta04650"
"ENSBTAG00000048634","path:bta04668"
"ENSBTAG00000048634","path:bta05135"
"ENSBTAG00000048634","path:bta05142"
"ENSBTAG00000048634","path:bta05152"
"ENSBTAG00000048634","path:bta05160"
"ENSBTAG00000048634","path:bta05161"
"ENSBTAG00000048634","path:bta05162"
"ENSBTAG00000048634","path:bta05163"
"ENSBTAG00000048634","path:bta05164"
"ENSBTAG00000048634","path:bta05165"
"ENSBTAG00000048634","path:bta05167"
"ENSBTAG00000048634","path:bta05168"
"ENSBTAG00000048634","path:bta05169"
"ENSBTAG00000048634","path:bta05170"
"ENSBTAG00000054945","path:bta04060"
"ENSBTAG00000054945","path:bta04151"
"ENSBTAG00000054945","path:bta04217"
"ENSBTAG00000054945","path:bta04380"
"ENSBTAG00000054945","path:bta04620"
"ENSBTAG00000054945","path:bta04621"
"ENSBTAG00000054945","path:bta04622"
"ENSBTAG00000054945","path:bta04623"
"ENSBTAG00000054945","path:bta04630"
"ENSBTAG00000054945","path:bta04650"
"ENSBTAG00000054945","path:bta04668"
"ENSBTAG00000054945","path:bta05135"
"ENSBTAG00000054945","path:bta05142"
"ENSBTAG00000054945","path:bta05152"
"ENSBTAG00000054945","path:bta05160"
"ENSBTAG00000054945","path:bta05161"
"ENSBTAG00000054945","path:bta05162"
"ENSBTAG00000054945","path:bta05163"
"ENSBTAG00000054945","path:bta05164"
"ENSBTAG00000054945","path:bta05165"
"ENSBTAG00000054945","path:bta05167"
"ENSBTAG00000054945","path:bta05168"
"ENSBTAG00000054945","path:bta05169"
"ENSBTAG00000054945","path:bta05170"
"ENSBTAG00000049500","path:bta05168"
"ENSBTAG00000021372","path:bta05100"
"ENSBTAG00000019853","path:bta04120"
"ENSBTAG00000019853","path:bta04144"
"ENSBTAG00000019853","path:bta04340"
"ENSBTAG00000019853","path:bta04350"
"ENSBTAG00000009733","path:bta00010"
"ENSBTAG00000009733","path:bta00030"
"ENSBTAG00000009733","path:bta00051"
"ENSBTAG00000009733","path:bta01100"
"ENSBTAG00000009733","path:bta01200"
"ENSBTAG00000009733","path:bta04152"
"ENSBTAG00000009733","path:bta04910"
"ENSBTAG00000009733","path:bta04922"
"ENSBTAG00000020614","path:bta04022"
"ENSBTAG00000020614","path:bta04071"
"ENSBTAG00000020614","path:bta04270"
"ENSBTAG00000020614","path:bta04371"
"ENSBTAG00000020614","path:bta04530"
"ENSBTAG00000020614","path:bta04666"
"ENSBTAG00000020614","path:bta04750"
"ENSBTAG00000020614","path:bta04925"
"ENSBTAG00000020614","path:bta04930"
"ENSBTAG00000020614","path:bta04931"
"ENSBTAG00000020614","path:bta04933"
"ENSBTAG00000020614","path:bta05206"
"ENSBTAG00000053367","path:bta04060"
"ENSBTAG00000053367","path:bta04151"
"ENSBTAG00000053367","path:bta04217"
"ENSBTAG00000053367","path:bta04380"
"ENSBTAG00000053367","path:bta04620"
"ENSBTAG00000053367","path:bta04621"
"ENSBTAG00000053367","path:bta04622"
"ENSBTAG00000053367","path:bta04623"
"ENSBTAG00000053367","path:bta04630"
"ENSBTAG00000053367","path:bta04650"
"ENSBTAG00000053367","path:bta04668"
"ENSBTAG00000053367","path:bta05135"
"ENSBTAG00000053367","path:bta05142"
"ENSBTAG00000053367","path:bta05152"
"ENSBTAG00000053367","path:bta05160"
"ENSBTAG00000053367","path:bta05161"
"ENSBTAG00000053367","path:bta05162"
"ENSBTAG00000053367","path:bta05163"
"ENSBTAG00000053367","path:bta05164"
"ENSBTAG00000053367","path:bta05165"
"ENSBTAG00000053367","path:bta05167"
"ENSBTAG00000053367","path:bta05168"
"ENSBTAG00000053367","path:bta05169"
"ENSBTAG00000053367","path:bta05170"
"ENSBTAG00000012225","path:bta05164"
"ENSBTAG00000004380","path:bta04062"
"ENSBTAG00000004380","path:bta04217"
"ENSBTAG00000004380","path:bta04380"
"ENSBTAG00000004380","path:bta04621"
"ENSBTAG00000004380","path:bta04625"
"ENSBTAG00000004380","path:bta04630"
"ENSBTAG00000004380","path:bta05160"
"ENSBTAG00000004380","path:bta05161"
"ENSBTAG00000004380","path:bta05162"
"ENSBTAG00000004380","path:bta05164"
"ENSBTAG00000004380","path:bta05165"
"ENSBTAG00000004380","path:bta05167"
"ENSBTAG00000004380","path:bta05168"
"ENSBTAG00000004380","path:bta05169"
"ENSBTAG00000004380","path:bta05200"
"ENSBTAG00000017741","path:bta00062"
"ENSBTAG00000017741","path:bta01040"
"ENSBTAG00000017741","path:bta01100"
"ENSBTAG00000017741","path:bta01212"
"ENSBTAG00000021272","path:bta02010"
"ENSBTAG00000020301","path:bta03440"
"ENSBTAG00000020301","path:bta03460"
"ENSBTAG00000014463","path:bta04012"
"ENSBTAG00000014463","path:bta04020"
"ENSBTAG00000014463","path:bta04024"
"ENSBTAG00000014463","path:bta04066"
"ENSBTAG00000014463","path:bta04114"
"ENSBTAG00000014463","path:bta04217"
"ENSBTAG00000014463","path:bta04261"
"ENSBTAG00000014463","path:bta04310"
"ENSBTAG00000014463","path:bta04360"
"ENSBTAG00000014463","path:bta04713"
"ENSBTAG00000014463","path:bta04720"
"ENSBTAG00000014463","path:bta04722"
"ENSBTAG00000014463","path:bta04725"
"ENSBTAG00000014463","path:bta04728"
"ENSBTAG00000014463","path:bta04740"
"ENSBTAG00000014463","path:bta04750"
"ENSBTAG00000014463","path:bta04911"
"ENSBTAG00000014463","path:bta04912"
"ENSBTAG00000014463","path:bta04916"
"ENSBTAG00000014463","path:bta04921"
"ENSBTAG00000014463","path:bta04922"
"ENSBTAG00000014463","path:bta04925"
"ENSBTAG00000014463","path:bta04934"
"ENSBTAG00000014463","path:bta04971"
"ENSBTAG00000014463","path:bta05012"
"ENSBTAG00000014463","path:bta05022"
"ENSBTAG00000014463","path:bta05031"
"ENSBTAG00000014463","path:bta05152"
"ENSBTAG00000014463","path:bta05200"
"ENSBTAG00000014463","path:bta05205"
"ENSBTAG00000014463","path:bta05214"
"ENSBTAG00000004378","path:bta04060"
"ENSBTAG00000004378","path:bta04625"
"ENSBTAG00000004378","path:bta04630"
"ENSBTAG00000004378","path:bta04659"
"ENSBTAG00000004378","path:bta05133"
"ENSBTAG00000004378","path:bta05152"
"ENSBTAG00000004378","path:bta05200"
"ENSBTAG00000004378","path:bta05321"
"ENSBTAG00000004378","path:bta05323"
"ENSBTAG00000019851","path:bta03015"
"ENSBTAG00000019851","path:bta04071"
"ENSBTAG00000019851","path:bta04114"
"ENSBTAG00000019851","path:bta04151"
"ENSBTAG00000019851","path:bta04152"
"ENSBTAG00000019851","path:bta04261"
"ENSBTAG00000019851","path:bta04350"
"ENSBTAG00000019851","path:bta04390"
"ENSBTAG00000019851","path:bta04530"
"ENSBTAG00000019851","path:bta04728"
"ENSBTAG00000019851","path:bta04730"
"ENSBTAG00000019851","path:bta05142"
"ENSBTAG00000019851","path:bta05160"
"ENSBTAG00000019851","path:bta05165"
"ENSBTAG00000003711","path:bta05200"
"ENSBTAG00000003711","path:bta05211"
"ENSBTAG00000009637","path:bta04970"
"ENSBTAG00000009637","path:bta04972"
"ENSBTAG00000009998","path:bta00512"
"ENSBTAG00000009998","path:bta00514"
"ENSBTAG00000009998","path:bta01100"
"ENSBTAG00000004376","path:bta03018"
"ENSBTAG00000013781","path:bta04150"
"ENSBTAG00000037985","path:bta04020"
"ENSBTAG00000037985","path:bta04080"
"ENSBTAG00000037985","path:bta04725"
"ENSBTAG00000037985","path:bta04810"
"ENSBTAG00000037985","path:bta05010"
"ENSBTAG00000037985","path:bta05022"
"ENSBTAG00000010915","path:bta05166"
"ENSBTAG00000002357","path:bta04064"
"ENSBTAG00000002357","path:bta04217"
"ENSBTAG00000002357","path:bta04620"
"ENSBTAG00000002357","path:bta05133"
"ENSBTAG00000002357","path:bta05161"
"ENSBTAG00000002357","path:bta05235"
"ENSBTAG00000021768","path:bta04068"
"ENSBTAG00000021768","path:bta04115"
"ENSBTAG00000017195","path:bta03460"
"ENSBTAG00000007537","path:bta04146"
"ENSBTAG00000017094","path:bta00260"
"ENSBTAG00000017094","path:bta00630"
"ENSBTAG00000017094","path:bta00670"
"ENSBTAG00000017094","path:bta01100"
"ENSBTAG00000017094","path:bta01200"
"ENSBTAG00000017094","path:bta01230"
"ENSBTAG00000017094","path:bta01523"
"ENSBTAG00000004371","path:bta00020"
"ENSBTAG00000004371","path:bta00630"
"ENSBTAG00000004371","path:bta01100"
"ENSBTAG00000004371","path:bta01200"
"ENSBTAG00000004371","path:bta01210"
"ENSBTAG00000004371","path:bta01230"
"ENSBTAG00000013060","path:bta04520"
"ENSBTAG00000013060","path:bta04810"
"ENSBTAG00000013060","path:bta05205"
"ENSBTAG00000017442","path:bta00270"
"ENSBTAG00000017442","path:bta00430"
"ENSBTAG00000017442","path:bta01100"
"ENSBTAG00000008479","path:bta04060"
"ENSBTAG00000008479","path:bta04061"
"ENSBTAG00000008479","path:bta04062"
"ENSBTAG00000013168","path:bta03030"
"ENSBTAG00000013168","path:bta03420"
"ENSBTAG00000013168","path:bta03430"
"ENSBTAG00000013168","path:bta03440"
"ENSBTAG00000013168","path:bta03460"
"ENSBTAG00000049571","path:bta03018"
"ENSBTAG00000017525","path:bta04068"
"ENSBTAG00000017525","path:bta04136"
"ENSBTAG00000017525","path:bta04140"
