ensembl_gene_ID,kegg_ID
"ENSBTAG00000049598","bta:505183"
"ENSBTAG00000010026","bta:408013"
"ENSBTAG00000008839","bta:539029"
"ENSBTAG00000040490","bta:509875"
"ENSBTAG00000000946","bta:531539"
"ENSBTAG00000018518","bta:522270"
"ENSBTAG00000036175","bta:509641"
"ENSBTAG00000054921","bta:516940"
"ENSBTAG00000016142","bta:536960"
"ENSBTAG00000050112","bta:618261"
"ENSBTAG00000016019","bta:100301024"
"ENSBTAG00000051313","bta:504888"
"ENSBTAG00000002959","bta:505325"
"ENSBTAG00000023551","bta:614275"
"ENSBTAG00000013636","bta:511887"
"ENSBTAG00000010113","bta:539966"
"ENSBTAG00000022535","bta:540680"
"ENSBTAG00000009646","bta:507477"
"ENSBTAG00000000570","bta:515924"
"ENSBTAG00000052216","bta:787574"
"ENSBTAG00000047730","bta:510984"
"ENSBTAG00000019750","bta:508903"
"ENSBTAG00000006263","bta:531420"
"ENSBTAG00000016315","bta:617165"
"ENSBTAG00000005548","bta:518161"
"ENSBTAG00000053792","bta:104975683"
"ENSBTAG00000026356","bta:282609"
"ENSBTAG00000012729","bta:537718"
"ENSBTAG00000009543","bta:520669"
"ENSBTAG00000034909","bta:100847239"
"ENSBTAG00000001001","bta:533461"
"ENSBTAG00000011587","bta:614587"
"ENSBTAG00000019933","bta:525647"
"ENSBTAG00000010792","bta:506509"
"ENSBTAG00000017500","bta:521931"
"ENSBTAG00000020316","bta:282183"
"ENSBTAG00000030424","bta:536944"
"ENSBTAG00000032923","bta:101907097"
"ENSBTAG00000048056","bta:100847281"
"ENSBTAG00000038377","bta:519654"
"ENSBTAG00000013621","bta:531435"
"ENSBTAG00000008385","bta:768061"
"ENSBTAG00000004640","bta:353352"
"ENSBTAG00000001424","bta:540526"
"ENSBTAG00000003415","bta:535653"
"ENSBTAG00000004259","bta:513870"
"ENSBTAG00000035631","bta:787694"
"ENSBTAG00000031774","bta:515957"
"ENSBTAG00000051429","bta:526226"
"ENSBTAG00000000622","bta:788861"
"ENSBTAG00000008650","bta:526873"
"ENSBTAG00000014541","bta:505908"
"ENSBTAG00000051976","bta:514864"
"ENSBTAG00000016140","bta:104974256"
"ENSBTAG00000022160","bta:513028"
"ENSBTAG00000008147","bta:508306"
"ENSBTAG00000014169","bta:524109"
"ENSBTAG00000049626","bta:618007"
"ENSBTAG00000001511","bta:539020"
"ENSBTAG00000037547","bta:539307"
"ENSBTAG00000020749","bta:616897"
"ENSBTAG00000049136","bta:539695"
"ENSBTAG00000017745","bta:522155"
"ENSBTAG00000009537","bta:616060"
"ENSBTAG00000048898","bta:782009"
"ENSBTAG00000021838","bta:538640"
"ENSBTAG00000001425","bta:508172"
"ENSBTAG00000031890","bta:537203"
"ENSBTAG00000001847","bta:532280"
"ENSBTAG00000000623","bta:514174"
"ENSBTAG00000047719","bta:281125"
"ENSBTAG00000009446","bta:510164"
"ENSBTAG00000005165","bta:509328"
"ENSBTAG00000020751","bta:506235"
"ENSBTAG00000040277","bta:617875"
"ENSBTAG00000051619","bta:526276"
"ENSBTAG00000019511","bta:514926"
"ENSBTAG00000014974","bta:505627"
"ENSBTAG00000038869","bta:539847"
"ENSBTAG00000031776","bta:787465"
"ENSBTAG00000043993","bta:515053"
"ENSBTAG00000045604","bta:523451"
"ENSBTAG00000040349","bta:527125"
"ENSBTAG00000008216","bta:508167"
"ENSBTAG00000051367","bta:100335553"
"ENSBTAG00000049396","bta:787882"
"ENSBTAG00000054353","bta:616755"
"ENSBTAG00000021059","bta:781292"
"ENSBTAG00000003607","bta:534672"
"ENSBTAG00000008495","bta:784163"
"ENSBTAG00000011844","bta:101902926"
"ENSBTAG00000037702","bta:100139208"
"ENSBTAG00000003179","bta:539817"
"ENSBTAG00000050278","bta:516022"
"ENSBTAG00000003064","bta:514918"
"ENSBTAG00000004351","bta:522636"
"ENSBTAG00000050091","bta:782825"
"ENSBTAG00000007740","bta:280852"
"ENSBTAG00000054322","bta:100299712"
"ENSBTAG00000046130","bta:100301297"
"ENSBTAG00000015151","bta:521742"
"ENSBTAG00000017312","bta:280932"
"ENSBTAG00000009786","bta:281478"
"ENSBTAG00000031958","bta:509761"
"ENSBTAG00000006239","bta:516442"
"ENSBTAG00000009542","bta:507466"
"ENSBTAG00000013380","bta:104975778"
"ENSBTAG00000039075","bta:538845"
"ENSBTAG00000031778","bta:519935"
"ENSBTAG00000021491","bta:327717"
"ENSBTAG00000031194","bta:618810"
"ENSBTAG00000017077","bta:281108"
"ENSBTAG00000003789","bta:782848"
"ENSBTAG00000055113","bta:788554"
